Symbol,Exchange,Company_name,Trade_date,Trade_time,Option_trade_price,Trade_size,Trade_exchange,Trade_condition,Option_symbol,Option_expiration,Price_strike,Call_Put,Style,Bid_price,Bid_time,Bid_size,Bid_exchange,Ask_price,Ask_time,Ask_size,Ask_exchange,Underlying_bid_price,Underlying_bid_time,Underlying_ask_price,Underlying_ask_time,Underlying_last_price,Underlying_last_time
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.196,18.440,1,Q,Auto,AAPL  191101C00220000,11/01/2019,220.000,C,A,0.000,00:00:00.000,0,* ,0.000,00:00:00.000,0,* ,236.350,09:30:00.180,236.450,09:30:00.180,236.450,09:30:00.170
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.495,0.450,33,Y2,Auto,AAPL  191025P00220000,10/25/2019,220.000,P,A,0.450,09:30:00.406,33,Y2,0.520,09:30:00.406,2,Y2,236.350,09:30:00.280,236.450,09:30:00.280,236.450,09:30:00.170
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.758,2.800,22,ME,Auto,AAPL  200117C00260000,01/17/2020,260.000,C,A,2.180,09:30:00.684,30,MI,2.800,09:30:00.758,22,ME,236.350,09:30:00.690,236.450,09:30:00.690,236.450,09:30:00.170
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.758,15.800,1,MI,Regular,AAPL  191220C00225000,12/20/2019,225.000,C,A,15.800,09:30:00.675,10,MI,18.500,09:30:00.681,2,ME,236.350,09:30:00.690,236.450,09:30:00.690,236.450,09:30:00.170
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.758,12.100,1,MI,Regular,AAPL  191220C00235000,12/20/2019,235.000,C,A,9.500,09:30:00.684,10,ME,12.100,09:30:00.675,10,MI,236.350,09:30:00.690,236.450,09:30:00.690,236.450,09:30:00.170
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.773,7.050,1,MP,Regular,AAPL  191018C00230000,10/18/2019,230.000,C,A,7.050,09:30:00.772,1,MP,7.550,09:30:00.772,2,MP,236.350,09:30:00.690,236.450,09:30:00.690,236.450,09:30:00.170
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.782,3.100,1,MP,Regular,AAPL  191018C00235000,10/18/2019,235.000,C,A,3.100,09:30:00.772,1,MP,3.150,09:30:00.727,36,ME,236.350,09:30:00.787,236.400,09:30:00.787,236.320,09:30:00.781
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.786,0.020,3,Y2,Auto,AAPL  191025P00180000,10/25/2019,180.000,P,A,0.000,09:30:00.014,0,Y2,0.020,09:30:00.014,15,Y2,236.350,09:30:00.788,236.400,09:30:00.788,236.320,09:30:00.781
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.788,7.800,10,MI,Regular,AAPL  191122C00237500,11/22/2019,237.500,C,A,7.800,09:30:00.787,10,MI,9.000,09:30:00.787,20,MI,236.350,09:30:00.788,236.400,09:30:00.788,236.320,09:30:00.781
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.789,3.000,1,MI,Regular,AAPL  200619P00170000,06/19/2020,170.000,P,A,3.000,09:30:00.789,1,MI,4.100,09:30:00.789,10,MI,236.350,09:30:00.788,236.400,09:30:00.788,236.320,09:30:00.781
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.790,5.550,1,MI,Regular,AAPL  200117P00220000,01/17/2020,220.000,P,A,4.750,09:30:00.790,10,MI,5.550,09:30:00.790,1,MI,236.350,09:30:00.788,236.400,09:30:00.788,236.320,09:30:00.781
AAPL,NASDAQ,Apple Inc,10/15/2019,09:30:00.803,0.570,1,AO,Auto,AAPL  191025P00222500,10/25/2019,222.500,P,A,0.570,09:30:00.791,1,AO,0.650,09:30:00.791,5,AO,236.350,09:30:00.790,236.400,09:30:00.790,236.320,09:30:00.781
